Country,Year,Metabolite,litre/day per 1 000 inhabitants,source
FR,2020,cannabis,163.69,waste water
FR,2020,cocaine,410.58,waste water
FR,2020,methamphetamine,0.0,waste water
FR,2021,MDMA,56.95,waste water
FR,2021,amphetamine,0.0,waste water
FR,2021,cannabis,117.74,waste water
FR,2021,cocaine,427.42,waste water
FR,2021,methamphetamine,0.0,waste water
GB,2021,MDMA,18.07,waste water
GB,2021,amphetamine,31.41,waste water
GB,2021,cocaine,750.71,waste water
GB,2021,methamphetamine,6.94,waste water
GB,2022,MDMA,9.79,waste water
GB,2022,amphetamine,27.24,waste water
GB,2022,cannabis,0.0,waste water
GB,2022,ketamine,203.62,waste water
GB,2022,methamphetamine,4.79,waste water
GR,2020,cannabis,30.270000000000003,waste water
GR,2020,methamphetamine,9.155,waste water
GR,2021,MDMA,3.38,waste water
GR,2021,amphetamine,12.13,waste water
GR,2021,cannabis,38.73,waste water
GR,2021,cocaine,95.85,waste water
GR,2021,methamphetamine,10.61,waste water
GR,2022,MDMA,2.39,waste water
GR,2022,amphetamine,4.93,waste water
GR,2022,cocaine,103.99,waste water
GR,2022,ketamine,0.0,waste water
HR,2020,MDMA,41.38,waste water
HR,2020,amphetamine,1013.84,waste water
HR,2020,cannabis,228.93,waste water
HR,2020,cocaine,510.24,waste water
HR,2020,methamphetamine,6.14,waste water
HR,2021,MDMA,28.26,waste water
HR,2021,amphetamine,151.41,waste water
HR,2021,cannabis,132.9,waste water
HR,2021,cocaine,548.62,waste water
HR,2021,methamphetamine,0.0,waste water
HR,2022,MDMA,26.86,waste water
HR,2022,amphetamine,99.81,waste water
HR,2022,cannabis,96.34,waste water
HR,2022,cocaine,401.19,waste water
HR,2022,methamphetamine,0.0,waste water
IS,2020,MDMA,44.14,waste water
IS,2020,amphetamine,332.47,waste water
IS,2020,cannabis,116.35,waste water
IS,2020,cocaine,283.25,waste water
IS,2020,methamphetamine,35.78,waste water
IS,2022,MDMA,39.5,waste water
IS,2022,cannabis,121.63,waste water
IS,2022,cocaine,522.99,waste water
IS,2022,methamphetamine,43.9,waste water
IT,2020,MDMA,2.25,waste water
IT,2020,amphetamine,0.995,waste water
IT,2020,cannabis,40.75,waste water
IT,2020,cocaine,367.27,waste water
IT,2020,methamphetamine,6.205,waste water
IT,2021,MDMA,1.9649999999999999,waste water
IT,2021,amphetamine,2.84,waste water
IT,2021,cannabis,40.68,waste water
IT,2021,cocaine,376.19500000000005,waste water
IT,2021,methamphetamine,7.205,waste water
IT,2022,MDMA,3.39,waste water
IT,2022,amphetamine,0.0,waste water
IT,2022,cannabis,48.385,waste water
IT,2022,cocaine,378.49,waste water
IT,2022,ketamine,13.83,waste water
IT,2022,methamphetamine,5.119999999999999,waste water
LT,2020,MDMA,22.316666666666663,waste water
LT,2020,amphetamine,42.04,waste water
LT,2020,cocaine,75.41666666666667,waste water
LT,2020,methamphetamine,3.8066666666666666,waste water
LT,2021,MDMA,14.773333333333332,waste water
LT,2021,amphetamine,56.99666666666667,waste water
LT,2021,cocaine,104.50999999999999,waste water
LT,2021,methamphetamine,28.98333333333333,waste water
LT,2022,MDMA,17.743333333333332,waste water
LT,2022,amphetamine,88.15666666666668,waste water
LT,2022,cocaine,113.89999999999999,waste water
LT,2022,methamphetamine,12.506666666666668,waste water
LV,2020,MDMA,42.98,waste water
LV,2020,amphetamine,53.45,waste water
LV,2020,cocaine,78.63,waste water
LV,2020,methamphetamine,76.82,waste water
LV,2021,MDMA,29.05,waste water
LV,2021,amphetamine,40.96,waste water
LV,2021,cocaine,109.66,waste water
LV,2021,methamphetamine,225.56,waste water
LV,2022,MDMA,33.84,waste water
LV,2022,amphetamine,106.47,waste water
LV,2022,cocaine,201.61,waste water
LV,2022,methamphetamine,167.97,waste water
NL,2020,MDMA,123.19999999999999,waste water
NL,2020,amphetamine,184.92666666666665,waste water
NL,2020,cannabis,176.33,waste water
NL,2020,cocaine,595.0733333333334,waste water
NL,2020,methamphetamine,19.323333333333334,waste water
NL,2021,MDMA,102.87666666666667,waste water
NL,2021,amphetamine,396.05,waste water
NL,2021,cannabis,119.92333333333333,waste water
NL,2021,cocaine,679.9966666666667,waste water
NL,2021,methamphetamine,37.873333333333335,waste water
NL,2022,MDMA,124.98333333333333,waste water
NL,2022,amphetamine,185.29000000000002,waste water
NL,2022,cannabis,122.42,waste water
NL,2022,cocaine,835.91,waste water
NL,2022,methamphetamine,23.41,waste water
NO,2020,MDMA,35.27,waste water
NO,2020,amphetamine,221.01,waste water
NO,2020,cocaine,239.72,waste water
NO,2020,methamphetamine,29.37,waste water
NO,2021,MDMA,30.83,waste water
NO,2021,amphetamine,50.48,waste water
NO,2021,methamphetamine,13.75,waste water
PL,2020,MDMA,30.72,waste water
PL,2020,amphetamine,71.39,waste water
PL,2020,cannabis,29.88,waste water
PL,2020,cocaine,53.96,waste water
PL,2020,methamphetamine,1.67,waste water
PL,2021,MDMA,44.13,waste water
PL,2021,amphetamine,100.28,waste water
PL,2021,cannabis,51.15,waste water
PL,2021,cocaine,67.2,waste water
PL,2021,methamphetamine,3.97,waste water
PL,2022,amphetamine,36.97,waste water
PL,2022,cannabis,46.03,waste water
PL,2022,cocaine,82.14,waste water
PL,2022,ketamine,1.66,waste water
PL,2022,methamphetamine,3.24,waste water
PT,2020,MDMA,27.75,waste water
PT,2020,amphetamine,1.8933333333333333,waste water
PT,2020,cannabis,87.17333333333333,waste water
PT,2020,cocaine,309.59666666666664,waste water
PT,2020,methamphetamine,1.2533333333333332,waste water
PT,2021,MDMA,25.703333333333333,waste water
PT,2021,amphetamine,3.0433333333333334,waste water
PT,2021,cannabis,86.22333333333331,waste water
PT,2021,cocaine,380.93,waste water
PT,2021,methamphetamine,2.983333333333333,waste water
PT,2022,MDMA,53.97666666666667,waste water
PT,2022,amphetamine,9.113333333333333,waste water
PT,2022,cannabis,109.34333333333332,waste water
PT,2022,cocaine,490.32666666666665,waste water
PT,2022,ketamine,10.515,waste water
PT,2022,methamphetamine,3.5033333333333334,waste water
RS,2020,MDMA,19.61,waste water
RS,2020,amphetamine,69.76,waste water
RS,2020,cocaine,125.95,waste water
RS,2020,methamphetamine,0.0,waste water
SE,2020,MDMA,25.096,waste water
SE,2020,amphetamine,451.794,waste water
SE,2020,cannabis,42.843333333333334,waste water
SE,2020,cocaine,132.04,waste water
SE,2020,methamphetamine,4.71,waste water
SE,2021,MDMA,15.072,waste water
SE,2021,amphetamine,352.062,waste water
SE,2021,cannabis,42.39333333333334,waste water
SE,2021,cocaine,111.83600000000001,waste water
SE,2021,methamphetamine,3.626,waste water
SE,2022,MDMA,4.943333333333333,waste water
SE,2022,amphetamine,574.3533333333334,waste water
SE,2022,cannabis,36.656666666666666,waste water
SE,2022,cocaine,95.80333333333334,waste water
SE,2022,ketamine,0.6033333333333334,waste water
SE,2022,methamphetamine,3.0033333333333334,waste water
SI,2020,MDMA,21.856666666666666,waste water
SI,2020,amphetamine,19.491666666666667,waste water
SI,2020,cocaine,202.27833333333334,waste water
SI,2020,methamphetamine,0.5383333333333333,waste water
SI,2021,MDMA,6.546666666666667,waste water
SI,2021,amphetamine,20.025000000000002,waste water
SI,2021,cannabis,96.375,waste water
SI,2021,cocaine,266.1116666666667,waste water
SI,2021,methamphetamine,1.3383333333333332,waste water
SI,2022,MDMA,9.604285714285714,waste water
SI,2022,amphetamine,16.63714285714286,waste water
SI,2022,cannabis,63.855714285714285,waste water
SI,2022,cocaine,279.40714285714284,waste water
SI,2022,ketamine,0.9557142857142857,waste water
SI,2022,methamphetamine,2.501428571428572,waste water
SK,2021,MDMA,3.195,waste water
SK,2021,amphetamine,12.14,waste water
SK,2021,cannabis,20.880000000000003,waste water
SK,2021,cocaine,44.045,waste water
SK,2021,methamphetamine,169.25,waste water
SK,2022,MDMA,7.3500000000000005,waste water
SK,2022,amphetamine,14.76,waste water
SK,2022,cannabis,34.18,waste water
SK,2022,cocaine,133.925,waste water
TR,2020,MDMA,28.63,waste water
TR,2020,cannabis,25.85,waste water
TR,2020,cocaine,29.665,waste water
TR,2020,methamphetamine,28.83,waste water
TR,2021,MDMA,13.68,waste water
TR,2021,amphetamine,7.425000000000001,waste water
TR,2021,cannabis,30.79,waste water
TR,2021,cocaine,29.795,waste water
TR,2021,methamphetamine,45.58,waste water
TR,2022,MDMA,7.485,waste water
TR,2022,amphetamine,13.37,waste water
TR,2022,cannabis,22.91,waste water
TR,2022,cocaine,34.09,waste water
TR,2022,ketamine,3.3,waste water
TR,2022,methamphetamine,69.165,waste water
