,Country,drug,percentage_of_post,code,latitude,longitude,ISO3
82,ROMANIA,amphetamines,1.5,RO,44.4268,26.1025,ROU
83,SLOVENIA,amphetamines,0,SI,46.0569,14.5058,SVN
84,SLOVAKIA,amphetamines,49.9,SK,48.1486,17.1077,SVK
85,FINLAND,amphetamines,30.9,FI,60.1695,24.9354,FIN
86,TÜRKIYE,amphetamines,27,TR,41.015137,28.97953,TUR
87,NORWAY,amphetamines,14.2,NO,59.911491,10.757933,NOR
88,SWEDEN,amphetamines,8.6,SE,59.3293,18.0686,SWE
90,BELGIUM,MDMA,0.4,BE,50.8503,4.3517,BEL
91,BULGARIA,MDMA,1.3,BG,42.6977,23.3219,BGR
92,CZECHIA,MDMA,0.5,CZ,50.088,14.4208,CZE
93,DENMARK,MDMA,0.3,DK,55.6761,12.5683,DNK
94,GERMANY,MDMA,0.5,DE,52.52,13.405,DEU
95,ESTONIA,MDMA,0.2,EE,59.437,24.7536,EST
96,IRELAND,MDMA,0.1,IE,53.3498,6.2603,IRL
97,GREECE,MDMA,0.2,GR,37.9838,23.7275,GRC
98,SPAIN,MDMA,0.2,ES,40.4168,-3.7038,ESP
99,FRANCE,MDMA,0.5,FR,48.8566,2.3522,FRA
100,CROATIA,MDMA,0,HR,45.815,15.9819,HRV
101,ITALY,MDMA,0.1,IT,41.9028,12.4964,ITA
102,CYPRUS,MDMA,0.1,CY,35.1667,33.3667,CYP
103,LATVIA,MDMA,1.1,LV,56.9496,24.1052,LVA
104,LITHUANIA,MDMA,0.4,LT,54.6872,25.2797,LTU
105,LUXEMBOURG,MDMA,0,LU,49.6117,6.1319,LUX
106,HUNGARY,MDMA,2.8,HU,47.4979,19.0402,HUN
107,MALTA,MDMA,0.3,MT,35.9042,14.5189,MLT
108,NETHERLANDS,MDMA,0.7,NL,52.3676,4.9041,NLD
109,AUSTRIA,MDMA,1,AT,48.8566,2.3522,AUT
110,POLAND,MDMA,0.6,PL,52.2297,21.0122,POL
